"model_time",".strategy_names","value_names","value"
1,"standard","cost",0
2,"standard","cost",0
3,"standard","cost",4112.39123661831
4,"standard","cost",5161.19473895713
5,"standard","cost",6130.55752238973
6,"standard","cost",6994.17217730947
7,"standard","cost",7692.57847168304
8,"standard","cost",8329.54541403941
9,"standard","cost",8914.9894731114
10,"standard","cost",9457.74515118256
11,"standard","cost",9963.91462248575
12,"standard","cost",10437.9734975718
13,"standard","cost",10883.3192609537
14,"standard","cost",11302.6078396113
15,"standard","cost",11697.9679830203
16,"standard","cost",12071.1433670273
17,"standard","cost",11985.1757496064
18,"standard","cost",11887.8171129168
19,"standard","cost",11765.3106482743
20,"standard","cost",11621.5451195475
21,"standard","cost",11459.3441490673
22,"standard","cost",11281.2520515582
23,"standard","cost",11089.5453137287
24,"standard","cost",10886.2666676719
25,"standard","cost",10673.2523557326
26,"standard","cost",10452.155065756
27,"standard","cost",9110.3618619155
28,"standard","cost",7970.38420092852
29,"standard","cost",6963.89969350385
30,"standard","cost",6078.32683207161
31,"standard","cost",5300.2463716239
32,"standard","cost",4617.5632236607
33,"standard","cost",4019.35492430837
34,"standard","cost",3495.80020662152
35,"standard","cost",3038.09900732901
36,"standard","cost",2638.39096942348
37,"standard","cost",2289.67475052028
38,"standard","cost",1985.72985940358
39,"standard","cost",1721.04217656072
40,"standard","cost",1490.73389030619
41,"standard","cost",1290.49826192088
42,"standard","cost",1116.53939769845
43,"standard","cost",965.517034316359
44,"standard","cost",834.496221945759
45,"standard","cost",720.901705504526
46,"standard","cost",622.476749427582
47,"standard","cost",537.246118207133
48,"standard","cost",463.482908208906
49,"standard","cost",399.67892158016
50,"standard","cost",344.518277077546
1,"new","cost",0
2,"new","cost",0
3,"new","cost",1072.31919488632
4,"new","cost",1346.69706310096
5,"new","cost",1600.86155948736
6,"new","cost",1827.94548741167
7,"new","cost",2012.3736673417
8,"new","cost",2181.19458757835
9,"new","cost",2336.97316605854
10,"new","cost",2481.99448518939
11,"new","cost",2617.83230234583
12,"new","cost",2745.63707478719
13,"new","cost",2866.27876589507
14,"new","cost",2980.43447970464
15,"new","cost",3088.64427808783
16,"new","cost",3191.3481792029
17,"new","cost",3173.00188803434
18,"new","cost",3151.64268236825
19,"new","cost",3123.61200135023
20,"new","cost",3089.90865466054
21,"new","cost",3051.25431749259
22,"new","cost",3008.30035871736
23,"new","cost",2961.63052043718
24,"new","cost",2911.76959587053
25,"new","cost",2859.19034511347
26,"new","cost",2804.31929720717
27,"new","cost",2448.61805771133
28,"new","cost",2145.99229843317
29,"new","cost",1878.32978275605
30,"new","cost",1642.4044151278
31,"new","cost",1434.74589601094
32,"new","cost",1252.22012566821
33,"new","cost",1091.99076636762
34,"new","cost",951.502099628467
35,"new","cost",828.45944054893
36,"new","cost",720.808987387193
37,"new","cost",626.71772213859
38,"new","cost",544.553826526666
39,"new","cost",472.867930147866
40,"new","cost",410.375396478284
41,"new","cost",355.93976870642
42,"new","cost",308.557434945929
43,"new","cost",267.343526554598
44,"new","cost",231.519030311321
45,"new","cost",200.399072139132
46,"new","cost",173.382314594364
47,"new","cost",149.941400648994
48,"new","cost",129.614370946533
49,"new","cost",111.996979592888
50,"new","cost",96.7358337799117
1,"standard","qaly",0
2,"standard","qaly",820.689655172414
3,"standard","qaly",802.72916959839
4,"standard","qaly",785.375502160184
5,"standard","qaly",768.384276711756
6,"standard","qaly",742.208147013246
7,"standard","qaly",716.92064592641
8,"standard","qaly",692.485782249226
9,"standard","qaly",668.875420001576
10,"standard","qaly",646.062189934864
11,"standard","qaly",624.01965239036
12,"standard","qaly",602.722229532831
13,"standard","qaly",582.145167236059
14,"standard","qaly",562.264505250968
15,"standard","qaly",543.057051641309
16,"standard","qaly",506.175079129607
17,"standard","qaly",471.817836821947
18,"standard","qaly",439.78716865655
19,"standard","qaly",409.926933230316
20,"standard","qaly",382.090392108745
21,"standard","qaly",356.140731384858
22,"standard","qaly",331.950352797814
23,"standard","qaly",309.400257994543
24,"standard","qaly",288.379471864246
25,"standard","qaly",268.784504254335
26,"standard","qaly",223.630018700219
27,"standard","qaly",186.111203160465
28,"standard","qaly",154.883475046422
29,"standard","qaly",128.894306937428
30,"standard","qaly",107.265059101072
31,"standard","qaly",89.2645031556124
32,"standard","qaly",74.2840122055231
33,"standard","qaly",61.8170144752779
34,"standard","qaly",51.4418856111538
35,"standard","qaly",42.8077079545576
36,"standard","qaly",35.6224163726407
37,"standard","qaly",29.6429308425321
38,"standard","qaly",24.6669429283588
39,"standard","qaly",20.5260790353904
40,"standard","qaly",17.0802097391708
41,"standard","qaly",14.2127131308381
42,"standard","qaly",11.8265322931081
43,"standard","qaly",9.84089380734333
44,"standard","qaly",8.18857649239723
45,"standard","qaly",6.81363814134644
46,"standard","qaly",5.66952347803667
47,"standard","qaly",4.71748942217721
48,"standard","qaly",3.92529446303169
49,"standard","qaly",3.26610785851489
50,"standard","qaly",2.71760179925415
1,"new","qaly",0
2,"new","qaly",820.689655172414
3,"new","qaly",803.035740226313
4,"new","qaly",785.817269518288
5,"new","qaly",768.964617241562
6,"new","qaly",742.923915824449
7,"new","qaly",717.764192405788
8,"new","qaly",693.454116915285
9,"new","qaly",669.965150846943
10,"new","qaly",647.269672684913
11,"new","qaly",625.34099614121
12,"new","qaly",604.153329025682
13,"new","qaly",583.681740641505
14,"new","qaly",563.902132107766
15,"new","qaly",544.791208537148
16,"new","qaly",507.962759077056
17,"new","qaly",473.62910089004
18,"new","qaly",441.614550254988
19,"new","qaly",411.76283272929
20,"new","qaly",383.927921163859
21,"new","qaly",357.973648962981
22,"new","qaly",333.773034267561
23,"new","qaly",311.207661702802
24,"new","qaly",290.167105203413
25,"new","qaly",270.548389656073
26,"new","qaly",225.236991828156
27,"new","qaly",187.527640758085
28,"new","qaly",156.1306191621
29,"new","qaly",129.989916276074
30,"new","qaly",108.225594012796
31,"new","qaly",90.1050311433679
32,"new","qaly",75.0182390332353
33,"new","qaly",62.4573369808416
34,"new","qaly",51.9994614639591
35,"new","qaly",43.2925357963476
36,"new","qaly",36.0434214711527
37,"new","qaly",30.0080526166777
38,"new","qaly",24.983221682574
39,"new","qaly",20.7997400103822
40,"new","qaly",17.3167431861536
41,"new","qaly",14.4169495791491
42,"new","qaly",12.0027125338196
43,"new","qaly",9.99273338035851
44,"new","qaly",8.31932465971645
45,"new","qaly",6.92613146954666
46,"new","qaly",5.76623425053446
47,"new","qaly",4.80056916625449
48,"new","qaly",3.99661291567925
49,"new","qaly",3.32728771511114
50,"new","qaly",2.77004959487987
