"cost","qaly","age_init","sex",".model_names",".index",".cost",".effect",".icer",".dcost",".deffect",".weights"
46809.9720133678,4533.94548745144,82,1,"standard",1,46809.9720133678,4533.94548745144,-Inf,NA,NA,0.012816607
12301.8718730552,4539.45457674911,82,1,"new",1,12301.8718730552,4539.45457674911,-6263.84839231234,-34508.1001403126,5.50908929766956,0.012816607
40366.1318483602,4098.94724819823,83,1,"standard",2,40366.1318483602,4098.94724819823,-Inf,NA,NA,0.022359495
10605.037086023,4103.70374236273,83,1,"new",2,10605.037086023,4103.70374236273,-6256.93919366879,-29761.0947623372,4.75649416450324,0.022359495
38926.2042907899,4099.17754045909,84,1,"standard",3,38926.2042907899,4099.17754045909,-Inf,NA,NA,0.010859407
10223.8856687535,4103.76461394636,84,1,"new",3,10223.8856687535,4103.76461394636,-6257.21796296521,-28702.3186220364,4.58707348727785,0.010859407
1284158.78556161,14442.2789753472,60,2,"standard",4,1284158.78556161,14442.2789753472,-Inf,NA,NA,0.016832963
366742.977347168,14629.0525994186,60,2,"new",4,366742.977347168,14629.0525994186,-4911.91308609811,-917415.808214441,186.773624071433,0.016832963
1172765.41064829,13951.653553545,61,2,"standard",5,1172765.41064829,13951.653553545,-Inf,NA,NA,0.022643106
332973.10367325,14121.1205047612,61,2,"new",5,332973.10367325,14121.1205047612,-4955.49309731563,-839792.306975039,169.466951216207,0.022643106
1068147.35429772,13447.7171404543,62,2,"standard",6,1068147.35429772,13447.7171404543,-Inf,NA,NA,0.019134093
301598.444029314,13601.0335329362,62,2,"new",6,301598.444029314,13601.0335329362,-4999.78441873984,-766548.910268405,153.3163924819,0.019134093
970139.430540795,12930.3405014103,63,2,"standard",7,970139.430540795,12930.3405014103,-Inf,NA,NA,0.012305199
272503.102681595,13068.6220781206,63,2,"new",7,272503.102681595,13068.6220781206,-5045.04175072216,-697636.3278592,138.281576710309,0.012305199
889776.87217995,12558.7276653388,64,2,"standard",8,889776.87217995,12558.7276653388,-Inf,NA,NA,0.00218986
248705.711299564,12684.6181336886,64,2,"new",8,248705.711299564,12684.6181336886,-5092.29308051557,-641071.160880386,125.890468349768,0.00218986
