".model",".strategy_names","markov_cycle","state_names","count"
"standard","standard",1,"PrimaryTHR",1000
"standard","standard",2,"PrimaryTHR",0
"standard","standard",3,"PrimaryTHR",0
"standard","standard",4,"PrimaryTHR",0
"standard","standard",5,"PrimaryTHR",0
"standard","standard",6,"PrimaryTHR",0
"standard","standard",7,"PrimaryTHR",0
"standard","standard",8,"PrimaryTHR",0
"standard","standard",9,"PrimaryTHR",0
"standard","standard",10,"PrimaryTHR",0
"standard","standard",11,"PrimaryTHR",0
"standard","standard",12,"PrimaryTHR",0
"standard","standard",13,"PrimaryTHR",0
"standard","standard",14,"PrimaryTHR",0
"standard","standard",15,"PrimaryTHR",0
"standard","standard",16,"PrimaryTHR",0
"standard","standard",17,"PrimaryTHR",0
"standard","standard",18,"PrimaryTHR",0
"standard","standard",19,"PrimaryTHR",0
"standard","standard",20,"PrimaryTHR",0
"standard","standard",21,"PrimaryTHR",0
"standard","standard",22,"PrimaryTHR",0
"standard","standard",23,"PrimaryTHR",0
"standard","standard",24,"PrimaryTHR",0
"standard","standard",25,"PrimaryTHR",0
"standard","standard",26,"PrimaryTHR",0
"standard","standard",27,"PrimaryTHR",0
"standard","standard",28,"PrimaryTHR",0
"standard","standard",29,"PrimaryTHR",0
"standard","standard",30,"PrimaryTHR",0
"standard","standard",31,"PrimaryTHR",0
"standard","standard",32,"PrimaryTHR",0
"standard","standard",33,"PrimaryTHR",0
"standard","standard",34,"PrimaryTHR",0
"standard","standard",35,"PrimaryTHR",0
"standard","standard",36,"PrimaryTHR",0
"standard","standard",37,"PrimaryTHR",0
"standard","standard",38,"PrimaryTHR",0
"standard","standard",39,"PrimaryTHR",0
"standard","standard",40,"PrimaryTHR",0
"standard","standard",41,"PrimaryTHR",0
"standard","standard",42,"PrimaryTHR",0
"standard","standard",43,"PrimaryTHR",0
"standard","standard",44,"PrimaryTHR",0
"standard","standard",45,"PrimaryTHR",0
"standard","standard",46,"PrimaryTHR",0
"standard","standard",47,"PrimaryTHR",0
"standard","standard",48,"PrimaryTHR",0
"standard","standard",49,"PrimaryTHR",0
"standard","standard",50,"PrimaryTHR",0
"standard","new",1,"PrimaryTHR",1000
"standard","new",2,"PrimaryTHR",0
"standard","new",3,"PrimaryTHR",0
"standard","new",4,"PrimaryTHR",0
"standard","new",5,"PrimaryTHR",0
"standard","new",6,"PrimaryTHR",0
"standard","new",7,"PrimaryTHR",0
"standard","new",8,"PrimaryTHR",0
"standard","new",9,"PrimaryTHR",0
"standard","new",10,"PrimaryTHR",0
"standard","new",11,"PrimaryTHR",0
"standard","new",12,"PrimaryTHR",0
